anchor_id,benchmark_id,duration_ms,duration_ns,metadata,observed_at_utc,repetition_index,run_id,seed,session_id,session_mode,stage,warmup,workload_size
,reviewer3_performance_final,5.271667,5271667,{},2026-08-01T14:07:09.779875Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_merkle_construction,False,500
,reviewer3_performance_final,50.953416,50953416,{},2026-08-01T14:07:09.832452Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_anchor_persistence,False,500
,reviewer3_performance_final,61.6395,61639500,{},2026-08-01T14:07:09.832472Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_anchor_total,False,500
1,reviewer3_performance_final,4.668167,4668167,{},2026-08-01T14:07:09.838960Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_membership_load,False,500
1,reviewer3_performance_final,5.34175,5341750,{},2026-08-01T14:07:09.848655Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_merkle_recomputation,False,500
1,reviewer3_performance_final,109.955916,109955916,{},2026-08-01T14:07:09.958963Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_snapshot_audit,False,500
1,reviewer3_performance_final,0.058667,58667,{},2026-08-01T14:07:09.959683Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_verification_persistence,False,500
,reviewer3_performance_final,127.020583,127020583,{},2026-08-01T14:07:09.959695Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_verification_total,False,500
,reviewer3_performance_final,1.721125,1721125,{},2026-08-01T14:07:11.256603Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_eligibility_query,False,100
,reviewer3_performance_final,0.000792,792,{},2026-08-01T14:07:11.256617Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_context_and_leaf_construction,False,100
,reviewer3_performance_final,1.153417,1153417,{},2026-08-01T14:07:11.257777Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_merkle_construction,False,100
,reviewer3_performance_final,12.64225,12642250,{},2026-08-01T14:07:11.271290Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_anchor_persistence,False,100
,reviewer3_performance_final,16.468667,16468667,{},2026-08-01T14:07:11.271313Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_anchor_total,False,100
1,reviewer3_performance_final,1.53275,1532750,{},2026-08-01T14:07:11.274536Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_membership_load,False,100
1,reviewer3_performance_final,1.273666,1273666,{},2026-08-01T14:07:11.277407Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_merkle_recomputation,False,100
1,reviewer3_performance_final,17.871792,17871792,{},2026-08-01T14:07:11.295373Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_snapshot_audit,False,100
1,reviewer3_performance_final,0.055333,55333,{},2026-08-01T14:07:11.295606Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_verification_persistence,False,100
,reviewer3_performance_final,24.225167,24225167,{},2026-08-01T14:07:11.295615Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,batch_verification_total,False,100
,reviewer3_performance_final,1.381417,1381417,{},2026-08-01T14:07:11.599857Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_eligibility_query,False,10
,reviewer3_performance_final,0.000459,459,{},2026-08-01T14:07:11.599872Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_context_and_leaf_construction,False,10
,reviewer3_performance_final,0.218208,218208,{},2026-08-01T14:07:11.600096Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_merkle_construction,False,10
,reviewer3_performance_final,5.609667,5609667,{},2026-08-01T14:07:11.606650Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_anchor_persistence,False,10
,reviewer3_performance_final,8.2215,8221500,{},2026-08-01T14:07:11.606666Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_anchor_total,False,10
1,reviewer3_performance_final,0.768625,768625,{},2026-08-01T14:07:11.608786Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_membership_load,False,10
1,reviewer3_performance_final,0.224291,224291,{},2026-08-01T14:07:11.609768Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_merkle_recomputation,False,10
1,reviewer3_performance_final,3.063125,3063125,{},2026-08-01T14:07:11.612856Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_snapshot_audit,False,10
1,reviewer3_performance_final,0.046291,46291,{},2026-08-01T14:07:11.612938Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_verification_persistence,False,10
,reviewer3_performance_final,6.226833,6226833,{},2026-08-01T14:07:11.612944Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,batch_verification_total,False,10
,reviewer3_performance_final,5.517375,5517375,{},2026-08-01T14:07:19.522445Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_eligibility_query,False,1000
,reviewer3_performance_final,0.002,2000,{},2026-08-01T14:07:19.522466Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_context_and_leaf_construction,False,1000
,reviewer3_performance_final,9.824916,9824916,{},2026-08-01T14:07:19.532298Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_merkle_construction,False,1000
,reviewer3_performance_final,103.996625,103996625,{},2026-08-01T14:07:19.638042Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_anchor_persistence,False,1000
,reviewer3_performance_final,121.179041,121179041,{},2026-08-01T14:07:19.638066Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_anchor_total,False,1000
1,reviewer3_performance_final,7.302583,7302583,{},2026-08-01T14:07:19.647694Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_membership_load,False,1000
1,reviewer3_performance_final,11.040041,11040041,{},2026-08-01T14:07:19.666262Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_merkle_recomputation,False,1000
1,reviewer3_performance_final,151.803125,151803125,{},2026-08-01T14:07:19.818715Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_snapshot_audit,False,1000
1,reviewer3_performance_final,0.065708,65708,{},2026-08-01T14:07:19.819955Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_verification_persistence,False,1000
,reviewer3_performance_final,181.480458,181480458,{},2026-08-01T14:07:19.819962Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,batch_verification_total,False,1000
,reviewer3_performance_final,1.712583,1712583,{},2026-08-01T14:07:21.243819Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_eligibility_query,False,50
,reviewer3_performance_final,0.000584,584,{},2026-08-01T14:07:21.243839Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_context_and_leaf_construction,False,50
,reviewer3_performance_final,0.77225,772250,{},2026-08-01T14:07:21.244618Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_merkle_construction,False,50
,reviewer3_performance_final,10.194292,10194292,{},2026-08-01T14:07:21.255926Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_anchor_persistence,False,50
,reviewer3_performance_final,13.873709,13873709,{},2026-08-01T14:07:21.255950Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_anchor_total,False,50
1,reviewer3_performance_final,1.145167,1145167,{},2026-08-01T14:07:21.258968Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_membership_load,False,50
1,reviewer3_performance_final,0.77525,775250,{},2026-08-01T14:07:21.260956Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_merkle_recomputation,False,50
1,reviewer3_performance_final,10.732292,10732292,{},2026-08-01T14:07:21.271747Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_snapshot_audit,False,50
1,reviewer3_performance_final,0.048667,48667,{},2026-08-01T14:07:21.271870Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_verification_persistence,False,50
,reviewer3_performance_final,15.860375,15860375,{},2026-08-01T14:07:21.271877Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,batch_verification_total,False,50
,reviewer3_performance_final,1.60175,1601750,{},2026-08-01T14:07:21.813625Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_eligibility_query,False,50
,reviewer3_performance_final,0.0005,500,{},2026-08-01T14:07:21.813640Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_context_and_leaf_construction,False,50
,reviewer3_performance_final,0.623,623000,{},2026-08-01T14:07:21.814269Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_merkle_construction,False,50
,reviewer3_performance_final,8.413375,8413375,{},2026-08-01T14:07:21.823577Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_anchor_persistence,False,50
,reviewer3_performance_final,11.605125,11605125,{},2026-08-01T14:07:21.823593Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_anchor_total,False,50
1,reviewer3_performance_final,1.009459,1009459,{},2026-08-01T14:07:21.826087Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_membership_load,False,50
1,reviewer3_performance_final,0.6455,645500,{},2026-08-01T14:07:21.827746Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_merkle_recomputation,False,50
1,reviewer3_performance_final,9.515,9515000,{},2026-08-01T14:07:21.837312Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_snapshot_audit,False,50
1,reviewer3_performance_final,0.059292,59292,{},2026-08-01T14:07:21.837461Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_verification_persistence,False,50
,reviewer3_performance_final,13.815083,13815083,{},2026-08-01T14:07:21.837467Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,batch_verification_total,False,50
